,Unnamed: 0,user,content,country,Pro Trump,Pro Biden,Neutral,date,replyCount,retweetCount,likeCount,one_hot_labels
0,0,"{'username': 'MTurkcu', 'displayname': 'Meral ErdoÄŸan', 'id': 2698662302, 'description': 'Åžair- ÅžarkÄ± sÃ¶zÃ¼ yazarÄ± -Hayvansever\n""MuhtaÃ§ olduÄŸun kudret, damarlarÄ±nda ki asil kanda mevcuttur.""Mustafa Kemal AtatÃ¼rk.', 'rawDescription': 'Åžair- ÅžarkÄ± sÃ¶zÃ¼ yazarÄ± -Hayvansever\n""MuhtaÃ§ olduÄŸun kudret, damarlarÄ±nda ki asil kanda mevcuttur.""Mustafa Kemal AtatÃ¼rk.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2014, 8, 1, 16, 25, 59, tzinfo=datetime.timezone.utc), 'followersCount': 2222, 'friendsCount': 2182, 'statusesCount': 39498, 'favouritesCount': 45450, 'listedCount': 2, 'mediaCount': 3891, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1350192840249368576/zkG3BMLK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2698662302/1549043793'}",@JoeBiden The bad guy Trump will go.  You will win.,Russia,0,1,0,2020-11-02 21:31:55+00:00,0.0,0.0,0.0,10
1,1,"{'username': 'JaquelineJsus', 'displayname': 'Jaqueline Gomes de Jesus 🌬️🐟', 'id': 245764760, 'description': '👩🏾\u200d🏫 Professora IFRJ e Docente ProfHistória UFRRJ\n👩🏾\u200d🎓 Doutora Psicologia UnB, Pós-Doc História CPDOC/FGV\n📚 Escritora', 'rawDescription': '👩🏾\u200d🏫 Professora IFRJ e Docente ProfHistória UFRRJ\n👩🏾\u200d🎓 Doutora Psicologia UnB, Pós-Doc História CPDOC/FGV\n📚 Escritora', 'descriptionUrls': [], 'verified': True, 'created': datetime.datetime(2011, 2, 1, 12, 26, 36, tzinfo=datetime.timezone.utc), 'followersCount': 3034, 'friendsCount': 2806, 'statusesCount': 16937, 'favouritesCount': 25920, 'listedCount': 18, 'mediaCount': 5255, 'location': 'Brasil', 'protected': False, 'linkUrl': 'http://linktr.ee/JaquelineGomesdeJesus', 'linkTcourl': 'https://t.co/rQZUcvdYpS', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1344875315320004609/lK9oXpjO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/245764760/1605587614'}","Good Morning, America!#ElectionDay #BiddenHarris2020 #Election2020 #Biden2020 #Biden #VoteBlue #VOTE 
@JoeBiden @KamalaHarris https://t.co/VLeylYR3Bv",Brazil,0,1,0,2020-11-02 14:21:12+00:00,0.0,0.0,0.0,10
2,2,"{'username': 'BARISTOROGLU', 'displayname': 'BARÄ°S TOROGLU', 'id': 17258051, 'description': 'CUMHURÄ°YET VE ATATÃœRKðŸ‡¹ðŸ‡·ðŸ‡¹ðŸ‡·ðŸ‡¹ðŸ‡·', 'rawDescription': 'CUMHURÄ°YET VE ATATÃœRKðŸ‡¹ðŸ‡·ðŸ‡¹ðŸ‡·ðŸ‡¹ðŸ‡·', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2008, 11, 8, 19, 44, 57, tzinfo=datetime.timezone.utc), 'followersCount': 28, 'friendsCount': 355, 'statusesCount': 16677, 'favouritesCount': 4481, 'listedCount': 4, 'mediaCount': 1105, 'location': 'Mersin, TÃ¼rkiye', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1368488455358062595/UmaDb-uQ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/17258051/1615108048'}",@KamalaHarris @JoeBiden Mrs. Presidents i am from turkeyðŸ‡¹ðŸ‡· the best  first lady in usaðŸ™‹,Russia,0,1,0,2020-11-29 15:17:41+00:00,0.0,0.0,0.0,10
3,3,"{'username': 'popquizant', 'displayname': 'Antony Murphy. No H in Antony.', 'id': 160992642, 'description': '@Gaydio Saturday afternoons 1-4pm & Sunday 10-midnight. Drink far too much tea, dont play the piano often enough. Nearly always in odd socks 🌈 Patron of 🧀on🍞', 'rawDescription': '@Gaydio Saturday afternoons 1-4pm & Sunday 10-midnight. Drink far too much tea, dont play the piano often enough. Nearly always in odd socks 🌈 Patron of 🧀on🍞', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 6, 29, 17, 55, 58, tzinfo=datetime.timezone.utc), 'followersCount': 898, 'friendsCount': 610, 'statusesCount': 12074, 'favouritesCount': 3143, 'listedCount': 15, 'mediaCount': 1090, 'location': 'Manchester', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1325551748400996353/EABXUJM8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/160992642/1601001604'}",Sad to see that DELUDED Donald and his Moronic Angry Gammon Army #MAGA stil cant accept that he LOST and his presidency is OVER.,UK,0,1,0,2020-11-22 04:24:52+00:00,0.0,0.0,3.0,10
4,4,"{'username': 'manuelanivia', 'displayname': 'Manuela Nivia', 'id': 236462632, 'description': 'Policy nerd for all things Latin America, human rights advocate, avid reader, bird of passage. | @UNC Alumna', 'rawDescription': 'Policy nerd for all things Latin America, human rights advocate, avid reader, bird of passage. | @UNC Alumna', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 1, 10, 17, 4, 3, tzinfo=datetime.timezone.utc), 'followersCount': 301, 'friendsCount': 298, 'statusesCount': 5706, 'favouritesCount': 3435, 'listedCount': 2, 'mediaCount': 349, 'location': 'Savannah, GA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1288771899250614272/CCzy7O6h_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/236462632/1595313839'}",It’s officially Election Day and I need tips on how to make it through the day without exploding from anxiety #VoteHimOut https://t.co/DqeVr8ae3O,Brazil,0,1,0,2020-11-03 04:58:47+00:00,0.0,0.0,1.0,10
5,5,"{'username': 'MinamiKengo', 'displayname': 'K. Minami', 'id': 1114754115299565569, 'description': 'Corporate Law & Maritime Law / Professor / Interested in Corporate Governance, Maritime Labour Law, Autonomous Ship / Nihon Univ. / Japan / Views are personal', 'rawDescription': 'Corporate Law & Maritime Law / Professor / Interested in Corporate Governance, Maritime Labour Law, Autonomous Ship / Nihon Univ. / Japan / Views are personal', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2019, 4, 7, 4, 57, 47, tzinfo=datetime.timezone.utc), 'followersCount': 296, 'friendsCount': 790, 'statusesCount': 379, 'favouritesCount': 365, 'listedCount': 1, 'mediaCount': 45, 'location': 'Tokyo, JAPAN', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1243774153179578368/rtkFQyUp_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1114754115299565569/1586846615'}","Biden was elected as the President in the USA. In also Japan, Akishino, the younger brother of the Emperor, was proclaimed as the Crown Prince today. 
Prince Akishino proclaimed first in line to throne | NHK WORLD-JAPAN News https://t.co/5Pfj38eJ9V",South Korea,0,0,1,2020-11-08 11:10:57+00:00,0.0,0.0,1.0,1
6,6,"{'username': 'Silvana09107856', 'displayname': 'Silvana Sil', 'id': 1086712179221561344, 'description': 'autÃªntica sempre', 'rawDescription': 'autÃªntica sempre', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2019, 1, 19, 19, 49, 8, tzinfo=datetime.timezone.utc), 'followersCount': 12, 'friendsCount': 14, 'statusesCount': 130, 'favouritesCount': 13, 'listedCount': 0, 'mediaCount': 41, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1322695105225043968/rzWHVD7p_normal.jpg', 'profileBannerUrl': None}","I, as a Brazilian, sympathize with the world for the victory of Joe Biden",Brazil,1,0,0,2020-11-08 12:31:18+00:00,0.0,0.0,0.0,100
7,7,"{'username': 'Sammyspotreal', 'displayname': 'Albert Samuel', 'id': 1112123455728685056, 'description': 'believes in God that nothing is impossible', 'rawDescription': 'believes in God that nothing is impossible', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2019, 3, 30, 22, 44, 28, tzinfo=datetime.timezone.utc), 'followersCount': 307, 'friendsCount': 1293, 'statusesCount': 5633, 'favouritesCount': 15576, 'listedCount': 0, 'mediaCount': 303, 'location': 'Lagos, Nigeria', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1339545415495151616/hAIl03Bw_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1112123455728685056/1602950330'}",@realDonaldTrump @Varneyco @FoxBusiness You are so scared and embarrassed that you can't spell Philadelphia very well.... Sorry Trump...#ByeByeTrump,Saudi,0,1,0,2020-11-06 16:02:30+00:00,0.0,0.0,0.0,10
8,8,"{'username': 'AY00007', 'displayname': 'AHMED YEHIA', 'id': 1618993094, 'description': 'Architecture Engineer & Graphic Designer\nMy Trinity :Comics.. Videogames.. Wrestling \nfacebook.com/ay00007', 'rawDescription': 'Architecture Engineer & Graphic Designer\nMy Trinity :Comics.. Videogames.. Wrestling \nhttps://t.co/h9WunD8cO8', 'descriptionUrls': [{'text': 'facebook.com/ay00007', 'url': 'http://facebook.com/ay00007', 'tcourl': 'https://t.co/h9WunD8cO8', 'indices': (86, 109)}], 'verified': False, 'created': datetime.datetime(2013, 7, 25, 0, 56, 32, tzinfo=datetime.timezone.utc), 'followersCount': 106, 'friendsCount': 410, 'statusesCount': 680, 'favouritesCount': 1956, 'listedCount': 1, 'mediaCount': 38, 'location': 'El Fayuom - Egypt', 'protected': False, 'linkUrl': 'https://www.instagram.com/ay00007', 'linkTcourl': 'https://t.co/SIhxf5rrSj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1333327902369329152/-0urVTVP_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1618993094/1417289032'}","Now WE ALL projecting @JoeBiden is the president of the United States💙🇺🇸
#USAelection2020 #GEORGIA #6Nov #USElectionResults #BlueWave2020 #BidenHarris2020 #ByeByeTrump https://t.co/HgHBX4iIAr",Ukraine,0,1,0,2020-11-06 10:27:59+00:00,0.0,0.0,1.0,10
9,9,"{'username': 'SHADUCK007', 'displayname': 'Sam Liu', 'id': 42440768, 'description': 'none', 'rawDescription': 'none', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 5, 25, 16, 58, 15, tzinfo=datetime.timezone.utc), 'followersCount': 251, 'friendsCount': 53, 'statusesCount': 42836, 'favouritesCount': 19756, 'listedCount': 162, 'mediaCount': 15212, 'location': 'Shanghai, San Francisco', 'protected': False, 'linkUrl': 'https://www.quora.com/profile/Samuel-Liu-7', 'linkTcourl': 'https://t.co/ZNlw1tWMnq', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/881664571886514182/a3VlbU2d_normal.jpg', 'profileBannerUrl': None}","https://t.co/9yRLyff2la
Given China the upper hand
#Trump's diagnosis is a 'golden opportunity' for China to advance its power gains: Atlantic Council",South Korea,0,0,1,2020-10-06 08:58:09+00:00,1.0,0.0,0.0,1
